央视频道,#genre#
CCTV1综合,http://58.37.189.47:8088/rtp/239.45.3.145:5140$1920x1080
CCTV2财经,http://222.65.134.204:10000/rtp/239.45.1.109:5140$0x0
CCTV3综艺,http://58.37.82.140:56789/rtp/239.45.1.68:5140$1920x1080
CCTV4中文国际,http://61.170.254.112:1024/rtp/239.45.0.2:5140$1920x1080
CCTV5体育,http://58.37.82.140:56789/rtp/239.45.1.69:5140$1920x1080
CCTV6电影,http://58.37.189.47:8088/rtp/239.45.1.70:5140$1920x1080
CCTV7国防军事,http://58.37.189.47:8088/rtp/239.45.3.56:5140$1920x1080
CCTV8电视剧,http://58.37.189.47:8088/rtp/239.45.1.71:5140$1920x1080
CCTV9记录,http://58.37.189.47:8088/rtp/239.45.1.108:5140$3840x2160
CCTV10科教,http://58.37.82.140:56789/rtp/239.45.3.8:5140$1920x1080
CCTV11戏曲,http://61.170.254.112:1024/rtp/239.45.1.196:5140$720x576
CCTV12社会与法,http://61.173.95.181:4022/rtp/239.45.3.10:5140$1920x1080
CCTV13新闻,http://58.37.189.47:8088/rtp/239.45.1.198:5140$720x576
CCTV14少儿,http://58.37.82.140:56789/rtp/239.45.3.23:5140$1920x1080
CCTV15音乐,http://58.37.189.47:8088/rtp/239.45.1.200:5140$720x576
CCTV-17农村农业,http://58.37.82.140:56789/rtp/239.45.3.52:5140$1920x1080
